p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	2.00000D-02	3.62500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.65000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.67500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.70000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.72500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.75000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.77500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.80000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.82500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.85000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.87500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.90000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.92500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.95000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.97500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	4.00000E+03	1.07512E+01	2.69292E+04
p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	4.00000D-02	2.50000E+02	5.68957E-02	-2.93709E+03
1.01325D-03	4.00000D-02	2.75000E+02	5.69542E-02	-2.91150E+03
1.01325D-03	4.00000D-02	3.00000E+02	5.70454E-02	-2.88560E+03
1.01325D-03	4.00000D-02	3.25000E+02	5.71784E-02	-2.85934E+03
1.01325D-03	4.00000D-02	3.50000E+02	5.73691E-02	-2.83254E+03
1.01325D-03	4.00000D-02	3.75000E+02	5.76470E-02	-2.80489E+03
1.01325D-03	4.00000D-02	4.00000E+02	5.80620E-02	-2.77577E+03
1.01325D-03	4.00000D-02	4.25000E+02	5.86863E-02	-2.74430E+03
1.01325D-03	4.00000D-02	4.50000E+02	5.96015E-02	-2.70936E+03
1.01325D-03	4.00000D-02	4.75000E+02	6.08699E-02	-2.66999E+03
1.01325D-03	4.00000D-02	5.00000E+02	6.25022E-02	-2.62580E+03
1.01325D-03	4.00000D-02	5.25000E+02	6.44599E-02	-2.57692E+03
1.01325D-03	4.00000D-02	5.50000E+02	6.67251E-02	-2.52298E+03
1.01325D-03	4.00000D-02	5.75000E+02	6.94258E-02	-2.46139E+03
1.01325D-03	4.00000D-02	6.00000E+02	7.29607E-02	-2.38567E+03
1.01325D-03	4.00000D-02	6.25000E+02	7.80609E-02	-2.28477E+03
1.01325D-03	4.00000D-02	6.50000E+02	8.57299E-02	-2.14430E+03
1.01325D-03	4.00000D-02	6.75000E+02	9.69282E-02	-1.95181E+03
1.01325D-03	4.00000D-02	7.00000E+02	1.11799E-01	-1.70846E+03
1.01325D-03	4.00000D-02	7.25000E+02	1.28591E-01	-1.44284E+03
1.01325D-03	4.00000D-02	7.50000E+02	1.43703E-01	-1.20609E+03
1.01325D-03	4.00000D-02	7.75000E+02	1.54260E-01	-1.03475E+03
1.01325D-03	4.00000D-02	8.00000E+02	1.60242E-01	-9.25847E+02
1.01325D-03	4.00000D-02	8.25000E+02	1.63245E-01	-8.56571E+02
1.01325D-03	4.00000D-02	8.50000E+02	1.64688E-01	-8.07724E+02
1.01325D-03	4.00000D-02	8.75000E+02	1.65383E-01	-7.68542E+02
1.01325D-03	4.00000D-02	9.00000E+02	1.65725E-01	-7.33820E+02
1.01325D-03	4.00000D-02	9.25000E+02	1.65898E-01	-7.01149E+02
1.01325D-03	4.00000D-02	9.50000E+02	1.65989E-01	-6.69410E+02
1.01325D-03	4.00000D-02	9.75000E+02	1.66039E-01	-6.38074E+02
1.01325D-03	4.00000D-02	1.00000E+03	1.66066E-01	-6.06881E+02
1.01325D-03	4.00000D-02	1.02500E+03	1.66082E-01	-5.75706E+02
1.01325D-03	4.00000D-02	1.05000E+03	1.66092E-01	-5.44484E+02
1.01325D-03	4.00000D-02	1.07500E+03	1.66098E-01	-5.13182E+02
1.01325D-03	4.00000D-02	1.10000E+03	1.66102E-01	-4.81784E+02
1.01325D-03	4.00000D-02	1.12500E+03	1.66105E-01	-4.50281E+02
1.01325D-03	4.00000D-02	1.15000E+03	1.66108E-01	-4.18669E+02
